bus2,bus3,bus4
908.2773922,1106.41791,1274.834854
907.9531232,1108.656716,1268.111041
906.3317784,1110,1263.6285
905.3589714,1109.104478,1257.801195
907.6288542,1105.522388,1250.629129
906.0075094,1104.626866,1247.939604
906.3317784,1101.044776,1238.97452
905.0347025,1098.80597,1233.59547
905.3589714,1094.328358,1227.319912
904.7104335,1092.985075,1221.492608
905.0347025,1089.850746,1214.768795
904.0618956,1085.373134,1211.631016
903.0890886,1078.208955,1216.561812
903.4133576,1078.656716,1211.182762
905.0347025,1081.343284,1201.32117
904.0618956,1080.895522,1193.252595
904.0618956,1080.447761,1191.011324
904.0618956,1081.343284,1181.597987
907.3045853,1082.686567,1183.391003
907.6288542,1081.343284,1176.667191
909.5744681,1084.029851,1174.42592
909.8987371,1084.029851,1172.632903
910.871544,1080.895522,1165.012583
910.871544,1076.41791,1160.081787
910.547275,1075.074627,1173.081158
915.4113096,1075.970149,1175.770683
916.7083855,1074.179104,1169.495124
919.9510752,1076.41791,1165.012583
918.9782683,1077.313433,1164.116074
919.3025373,1079.552239,1159.185278
920.9238821,1079.552239,1159.633533
922.545227,1080.895522,1153.806228
926.4364547,1080.895522,1148.875433
927.0849926,1080.895522,1147.978924
926.1121857,1079.552239,1148.427178
930.9762203,1073.283582,1145.289399
931.9490272,1068.80597,1147.082416
933.894641,1067.462687,1148.427178
937.4615997,1067.910448,1147.082416
940.7042895,1069.701493,1144.392891
944.9197861,1072.835821,1145.289399
948.1624758,1075.970149,1139.910349
951.7294345,1081.343284,1141.703366
957.890545,1082.238806,1142.15162
961.7817727,1082.686567,1140.358603
968.2671521,1083.58209,1140.806858
977.0224144,1082.686567,1142.599874
982.2107179,1081.791045,1142.15162
995.5057458,1084.477612,1137.220824
1004.909546,1085.820896,1141.255112
1013.01627,1086.268657,1143.496383
1020.798726,1089.402985,1147.53067
1029.553988,1092.089552,1148.427178
1040.254864,1093.432836,1149.323687
1049.658664,1097.910448,1157.392262
1063.926499,1100.149254,1163.219566
1073.00603,1103.731343,1165.909091
1084.355444,1108.208955,1171.736395
1097.650472,1110.447761,1179.356716
1108.027079,1112.238806,1184.287512
1131.050176,1118.059701,1161.426549
1143.696666,1123.432836,1172.632903
1153.100466,1131.044776,1183.391003
1165.746956,1136.41791,1191.011324
1173.205143,1143.134328,1204.010695
1182.933212,1148.059701,1212.07927
1192.337012,1153.880597,1223.733879
1201.092274,1165.970149,1236.284995
1203.037888,1172.238806,1249.284366
1213.414495,1179.402985,1262.283737
1216.657185,1182.537313,1276.62787
1226.385254,1192.38806,1295.454545
1231.573558,1205.373134,1300.833595
1237.734668,1214.776119,1312.488204
1242.274434,1222.38806,1329.970116
1249.408351,1226.41791,1341.624725
1243.247241,1230,1349.245046
1239.031744,1235.820896,1360.003146
1239.680282,1239.850746,1369.864737
1240.004551,1240.746269,1378.829821
1238.383206,1241.19403,1385.105379
1238.383206,1239.850746,1391.380937
1234.816248,1238.059701,1400.346021
1233.843441,1236.268657,1405.725071
1228.655137,1228.208955,1412.448883
1229.952213,1225.522388,1421.862221
1226.385254,1225.970149,1428.137779
1217.954261,1226.41791,1435.7581
1211.468882,1227.313433,1438.895879
1207.253385,1225.074627,1448.757471
1196.22824,1224.626866,1455.929538
1188.770053,1220.597015,1464.894621
1183.906019,1214.328358,1474.756213
1178.717715,1208.059701,1477.893992
1172.556605,1199.552239,1482.376534
1166.719763,1195.074627,1486.859075
1157.964501,1200,1515.547342
1156.018887,1196.41791,1522.719409
1151.479122,1197.761194,1529.891475
1145.64228,1200.447761,1540.201321
1139.48117,1202.238806,1543.787355
1135.914211,1203.58209,1553.200692
1130.077369,1205.373134,1561.717521
1126.83468,1207.61194,1572.027367
1121.646376,1206.268657,1576.958163
1115.809535,1200.895522,1587.268009
1113.539652,1199.552239,1587.716263
1109.324155,1201.343284,1596.233092
1109.972693,1204.029851,1611.473734
1101.217431,1207.164179,1616.40453
1097.650472,1207.164179,1616.40453
1095.704858,1204.925373,1622.680088
1093.434976,1204.925373,1626.714376
1090.840824,1209.850746,1628.059138
1085.976789,1213.880597,1633.438188
1085.65252,1212.537313,1633.886442
1083.058368,1209.402985,1637.472476
1078.194334,1208.507463,1638.368984
1076.24872,1204.029851,1643.29978
1073.00603,1199.104478,1645.092796
1071.384685,1193.283582,1664.367726
1072.033223,1188.80597,1668.850267
1071.060416,1187.462687,1673.332809
1067.493458,1183.880597,1676.470588
1063.926499,1181.641791,1680.504876
1062.629423,1179.402985,1683.642655
1059.711002,1175.820896,1680.056622
1055.819775,1173.134328,1683.194401
1053.225623,1172.238806,1681.401384
1050.631471,1171.343284,1684.539163
1050.95574,1170,1686.33218
1049.010126,1170,1687.676942
1045.767437,1171.791045,1697.986788
1044.146092,1174.477612,1700.228059
1044.146092,1175.373134,1704.710601
1043.173285,1172.686567,1701.124567
1041.55194,1173.134328,1702.46933
1040.254864,1172.238806,1703.365838
1039.930595,1170.895522,1702.46933
1037.336443,1170.447761,1704.710601
1037.012174,1168.208955,1703.365838
1034.742292,1170.895522,1698.883297
1028.90545,1170.895522,1697.538534
1026.635567,1170.895522,1696.642026
1025.338491,1172.238806,1691.71123
1023.717146,1174.029851,1691.262976
1025.66276,1174.477612,1687.228688
1023.717146,1174.477612,1691.262976
1020.474457,1174.925373,1687.228688
1019.177381,1173.58209,1688.125197
1016.583229,1172.238806,1687.676942
1017.556036,1173.134328,1689.469959
1016.25896,1172.686567,1686.780434
1014.637615,1172.238806,1689.469959
1012.043463,1169.104478,1685.883926
1011.070657,1169.104478,1686.33218
1012.692001,1169.552239,1691.71123
1011.719194,1170,1690.814722
1008.152236,1168.656716,1692.159484
1011.070657,1157.462687,1690.814722
1009.125043,1153.880597,1693.504247
1007.179429,1154.328358,1695.745517
1003.936739,1152.089552,1693.952501
1000.045511,1155.223881,1698.435042
999.3969735,1159.253731,1693.055992
1003.936739,1159.253731,1693.055992
1005.558084,1158.358209,1692.159484
1001.666856,1157.910448,1691.71123
1001.991125,1155.223881,1681.849638
1001.991125,1155.223881,1683.194401
1002.639663,1154.776119,1682.746147
1001.018318,1155.223881,1678.263605
1001.342587,1155.223881,1676.918842
1002.639663,1153.880597,1675.125826
1000.694049,1153.880597,1674.677572
1000.36978,1153.880597,1671.988047
998.7484355,1154.776119,1673.332809
999.3969735,1156.119403,1669.746776
996.4785527,1157.462687,1663.471217
997.1270907,1157.014925,1664.81598
992.911594,1160.149254,1662.574709
992.5873251,1160.597015,1658.092167
992.5873251,1159.253731,1653.609626
995.8300148,1161.492537,1652.713117
997.1270907,1161.044776,1651.816609
999.3969735,1158.358209,1650.471846
1001.991125,1161.492537,1648.230576
1003.61247,1160.149254,1646.885813
1008.800774,1159.253731,1643.29978
1015.934691,1159.253731,1643.748034
1019.50165,1157.910448,1643.748034
1026.959836,1157.462687,1645.092796
1034.418023,1145.820896,1648.230576
1041.55194,1148.955224,1652.264863
1050.307202,1154.328358,1651.816609
1057.44112,1161.492537,1654.05788
1064.899306,1168.208955,1663.919472
1071.708954,1175.373134,1670.643284
1081.112755,1184.776119,1679.160113
1086.625327,1197.313433,1689.918213
1092.786438,1212.537313,1703.365838
1104.135852,1230.447761,1713.675684
1113.863921,1250.597015,1732.054105
1120.3493,1268.059701,1744.156968
1134.292866,1309.253731,1843.669393
1143.696666,1328.955224,1856.668764
1149.857777,1348.656716,1866.97861
1157.964501,1368.358209,1872.805914
1162.504267,1386.716418,1884.012268
1171.259529,1405.074627,1884.908776
1179.690522,1422.537313,1884.908776
1187.472978,1435.522388,1892.529097
1199.47093,1449.850746,1890.287826
1210.171806,1461.044776,1887.150047
1216.008647,1475.373134,1887.598301
1216.657185,1485.671642,1887.150047
1199.146661,1461.492537,1849.048443
1194.282626,1456.567164,1857.565272
1187.472978,1448.955224,1862.047814
1179.690522,1442.238806,1868.323372
1171.259529,1432.835821,1868.323372
1163.801343,1425.223881,1862.047814
1155.370349,1418.955224,1857.117018
1148.88497,1412.238806,1846.358918
1145.966549,1405.970149,1836.497326
1143.048128,1403.731343,1832.463039
1142.075321,1400.597015,1831.56653
1142.075321,1399.253731,1822.153193
1148.88497,1410.895522,1811.395093
1147.912163,1410.895522,1801.981755
1148.560701,1410.895522,1799.740484
1148.88497,1410.447761,1794.809689
1147.912163,1410,1794.361434
1146.615087,1410.447761,1790.775401
1145.64228,1409.104478,1786.741114
1144.993742,1406.865672,1781.362064
1144.020935,1401.044776,1778.672539
1143.372397,1394.776119,1774.638251
1139.48117,1389.850746,1768.362693
1137.535556,1384.925373,1763.431897
1135.589942,1387.164179,1737.433155
1132.347252,1385.373134,1726.226801
1129.104563,1383.58209,1725.330293
1125.537604,1381.343284,1718.60648
1120.673569,1379.104478,1715.020447
1115.809535,1374.179104,1713.675684
1108.675617,1370.149254,1709.193142
1101.217431,1365.223881,1700.228059
1093.434976,1358.955224,1693.504247
1085.328251,1353.58209,1686.780434
1077.870065,1346.865672,1677.815351
1070.736147,1340.597015,1669.298522
1061.008078,1331.641791,1633.886442
1059.711002,1325.820896,1628.955646
1055.171237,1318.656716,1618.645801
1047.388781,1311.940299,1612.370242
1038.30925,1305.223881,1606.094684
1031.499602,1296.268657,1597.577855
1024.365684,1292.686567,1589.061025
1018.204574,1283.731343,1580.095942
1011.070657,1277.462687,1572.475621
1004.909546,1270.746269,1567.99308
998.0998976,1263.58209,1558.131488
986.1019456,1255.522388,1546.028625
977.9952213,1247.462687,1515.099088
970.8613039,1238.059701,1504.340988
964.7001934,1231.343284,1496.720667
961.1332347,1224.626866,1487.307329
954.6478553,1217.014925,1476.100975
948.4867448,1211.641791,1462.205096
942.9741723,1204.925373,1451.446996
938.1101377,1195.970149,1441.13715
933.5703721,1190.149254,1429.034288
932.2732962,1185.671642,1417.379679
930.0034134,1181.19403,1405.725071
926.4364547,1174.477612,1395.415225
926.1121857,1165.970149,1379.278075
921.2481511,1160.149254,1362.692671
919.6268062,1152.985075,1352.382825
916.7083855,1149.402985,1339.831708
914.1142337,1142.686567,1331.763133
910.871544,1136.865672,1317.419
910.223006,1132.835821,1310.246933
906.6560473,1127.014925,1299.937087
906.3317784,1122.537313,1288.282479
904.7104335,1118.955224,1280.662158
902.4405507,1113.58209,1273.490091
899.197861,1114.477612,1262.283737